subject,arm,cam_a,cam_b,raw_med_mm,centroid_mm,aligned_med_mm
train14,T,webcam_l,webcam_c,1.382,0.159,1.145
train14,S,webcam_r,webcam_c,1.207,0.481,1.007
train14,T,webcam_r,webcam_c,1.590,0.279,1.463
train14,S,webcam_r,webcam_l,1.815,0.607,1.677
train14,T,webcam_r,webcam_l,1.718,0.171,1.765
train13,S,webcam_c,basler,2.016,0.385,1.703
train13,T,webcam_c,basler,0.943,0.425,0.829
train13,S,webcam_l,basler,1.637,0.497,1.360
train13,T,webcam_l,basler,1.580,0.240,1.441
train13,S,webcam_l,webcam_c,1.759,0.203,1.268
train13,T,webcam_l,webcam_c,1.414,0.275,1.415
train13,S,webcam_r,basler,1.188,0.544,1.230
train13,T,webcam_r,basler,1.496,0.130,1.444
train13,S,webcam_r,webcam_c,1.751,0.325,1.872
train13,T,webcam_r,webcam_c,1.723,0.416,1.720
train13,S,webcam_r,webcam_l,2.754,0.370,2.606
train13,T,webcam_r,webcam_l,2.599,0.235,2.462
train15,S,webcam_c,basler,1.453,0.162,1.404
train15,T,webcam_c,basler,1.444,0.213,1.368
train15,S,webcam_l,basler,1.252,0.972,1.474
train15,T,webcam_l,basler,0.899,0.298,1.095
train15,S,webcam_l,webcam_c,1.519,0.856,1.091
train15,T,webcam_l,webcam_c,1.131,0.149,1.530
train15,S,webcam_r,basler,2.920,0.359,2.897
train15,T,webcam_r,basler,2.960,0.100,2.765
train15,S,webcam_r,webcam_c,2.653,0.302,2.349
train15,T,webcam_r,webcam_c,2.198,0.231,2.227
train15,S,webcam_r,webcam_l,3.563,0.970,3.120
train15,T,webcam_r,webcam_l,3.408,0.322,3.061
train17,S,webcam_c,basler,1.525,0.988,1.162
train17,T,webcam_c,basler,1.420,0.100,1.338
train17,S,webcam_l,basler,1.477,0.075,1.923
train17,T,webcam_l,basler,1.324,0.074,1.580
train17,S,webcam_l,webcam_c,1.834,0.990,1.457
train17,T,webcam_l,webcam_c,2.697,0.066,2.735
train17,S,webcam_r,basler,1.281,0.099,1.350
train17,T,webcam_r,basler,1.202,0.061,1.252
train17,S,webcam_r,webcam_c,3.141,0.956,1.876
train17,T,webcam_r,webcam_c,1.243,0.096,1.226
train17,S,webcam_r,webcam_l,2.700,0.099,3.068
train17,T,webcam_r,webcam_l,2.957,0.071,3.040
train16,S,webcam_c,basler,2.230,0.641,1.667
train16,T,webcam_c,basler,1.534,0.213,1.532
train16,S,webcam_l,basler,2.000,0.297,1.960
train16,T,webcam_l,basler,1.558,0.242,1.817
train16,S,webcam_l,webcam_c,1.245,0.345,1.009
