subject,arm,cam_a,cam_b,point,raw_mm,aligned_mm
train12,S,webcam_l,basler,eye39(inner corner),1.893,1.896
train12,S,webcam_l,basler,eye89(inner corner),3.229,3.199
train12,S,webcam_l,basler,eye93(outer corner),0.983,1.028
train12,S,webcam_l,basler,nose78(base of nose),2.045,3.101
train12,S,webcam_l,basler,nose84(base of nose),3.827,3.052
train12,T,webcam_l,basler,eye35(outer corner),1.444,1.459
train12,T,webcam_l,basler,eye39(inner corner),1.548,1.582
train12,T,webcam_l,basler,eye89(inner corner),2.563,2.328
train12,T,webcam_l,basler,eye93(outer corner),0.746,0.936
train12,T,webcam_l,basler,nose78(base of nose),1.255,1.799
train12,T,webcam_l,basler,nose84(base of nose),2.323,1.883
train12,S,webcam_l,webcam_c,eye35(outer corner),1.938,1.707
train12,S,webcam_l,webcam_c,eye39(inner corner),1.983,2.107
train12,S,webcam_l,webcam_c,eye89(inner corner),2.375,2.248
train12,S,webcam_l,webcam_c,eye93(outer corner),1.777,2.201
train12,S,webcam_l,webcam_c,nose78(base of nose),2.691,1.412
train12,S,webcam_l,webcam_c,nose84(base of nose),1.191,0.861
train12,T,webcam_l,webcam_c,eye35(outer corner),0.914,0.471
train12,T,webcam_l,webcam_c,eye39(inner corner),1.215,1.265
train12,T,webcam_l,webcam_c,eye89(inner corner),3.248,2.181
train12,T,webcam_l,webcam_c,eye93(outer corner),1.418,1.137
train12,T,webcam_l,webcam_c,nose78(base of nose),0.754,1.221
train12,T,webcam_l,webcam_c,nose84(base of nose),1.739,1.263
train12,S,webcam_r,basler,eye35(outer corner),1.808,0.802
train12,S,webcam_r,basler,eye39(inner corner),1.738,2.026
train12,S,webcam_r,basler,eye89(inner corner),0.766,0.796
train12,S,webcam_r,basler,eye93(outer corner),1.768,1.898
train12,S,webcam_r,basler,nose78(base of nose),3.272,2.198
train12,S,webcam_r,basler,nose84(base of nose),2.085,2.304
train12,T,webcam_r,basler,eye35(outer corner),0.802,0.806
train12,T,webcam_r,basler,eye39(inner corner),1.775,1.719
train12,T,webcam_r,basler,eye89(inner corner),0.372,0.645
train12,T,webcam_r,basler,eye93(outer corner),1.500,1.259
train12,T,webcam_r,basler,nose78(base of nose),2.893,2.072
train12,T,webcam_r,basler,nose84(base of nose),1.940,2.119
train12,S,webcam_r,webcam_c,eye35(outer corner),2.075,1.203
train12,S,webcam_r,webcam_c,eye39(inner corner),3.588,4.075
train12,S,webcam_r,webcam_c,eye89(inner corner),0.621,0.724
train12,S,webcam_r,webcam_c,eye93(outer corner),1.593,2.762
train12,S,webcam_r,webcam_c,nose78(base of nose),7.718,5.851
train12,S,webcam_r,webcam_c,nose84(base of nose),4.603,5.658
train12,T,webcam_r,webcam_c,eye35(outer corner),1.283,1.123
train12,T,webcam_r,webcam_c,eye39(inner corner),0.628,0.751
train12,T,webcam_r,webcam_c,eye89(inner corner),1.213,0.659
train12,T,webcam_r,webcam_c,eye93(outer corner),2.376,0.802
train12,T,webcam_r,webcam_c,nose78(base of nose),4.366,2.674
train12,T,webcam_r,webcam_c,nose84(base of nose),2.578,2.742
train12,S,webcam_r,webcam_l,eye35(outer corner),1.586,1.648
train12,S,webcam_r,webcam_l,eye39(inner corner),2.480,2.676
train12,S,webcam_r,webcam_l,eye89(inner corner),2.525,2.732
train12,S,webcam_r,webcam_l,eye93(outer corner),0.897,0.988
train12,S,webcam_r,webcam_l,nose78(base of nose),5.269,5.179
train12,S,webcam_r,webcam_l,nose84(base of nose),5.354,5.021
train12,T,webcam_r,webcam_l,eye35(outer corner),1.089,1.287
train12,T,webcam_r,webcam_l,eye39(inner corner),1.840,1.991
train12,T,webcam_r,webcam_l,eye89(inner corner),2.299,2.729
train12,T,webcam_r,webcam_l,eye93(outer corner),1.303,0.474
train12,T,webcam_r,webcam_l,nose78(base of nose),3.966,3.663
train12,T,webcam_r,webcam_l,nose84(base of nose),3.999,3.719
train04,S,webcam_l,webcam_c,eye35(outer corner),1.510,1.267
train04,S,webcam_l,webcam_c,eye39(inner corner),1.126,1.070
train04,S,webcam_l,webcam_c,eye89(inner corner),1.524,1.125
train04,S,webcam_l,webcam_c,eye93(outer corner),0.385,0.832
train04,S,webcam_l,webcam_c,nose78(base of nose),1.198,1.406
train04,S,webcam_l,webcam_c,nose84(base of nose),0.907,0.827
train04,T,webcam_l,webcam_c,eye35(outer corner),0.477,0.509
train04,T,webcam_l,webcam_c,eye39(inner corner),0.233,0.181
train04,T,webcam_l,webcam_c,eye89(inner corner),1.741,1.668
train04,T,webcam_l,webcam_c,eye93(outer corner),1.048,1.121
train04,T,webcam_l,webcam_c,nose78(base of nose),1.141,1.187
train04,T,webcam_l,webcam_c,nose84(base of nose),0.883,0.842
train04,S,webcam_r,webcam_c,eye35(outer corner),3.072,1.752
train04,S,webcam_r,webcam_c,eye39(inner corner),1.192,0.688
train04,S,webcam_r,webcam_c,eye89(inner corner),1.624,2.365
train04,S,webcam_r,webcam_c,eye93(outer corner),1.551,0.885
train04,S,webcam_r,webcam_c,nose78(base of nose),1.827,2.408
train04,S,webcam_r,webcam_c,nose84(base of nose),2.731,2.369
train04,T,webcam_r,webcam_c,eye35(outer corner),2.332,2.003
train04,T,webcam_r,webcam_c,eye39(inner corner),0.893,0.986
train04,T,webcam_r,webcam_c,eye89(inner corner),2.104,2.151
train04,T,webcam_r,webcam_c,eye93(outer corner),0.487,0.533
train04,T,webcam_r,webcam_c,nose78(base of nose),3.021,3.300
train04,T,webcam_r,webcam_c,nose84(base of nose),3.591,3.438
train04,S,webcam_r,webcam_l,eye35(outer corner),4.377,2.798
train04,S,webcam_r,webcam_l,eye39(inner corner),0.973,1.419
train04,S,webcam_r,webcam_l,eye89(inner corner),3.147,3.444
train04,S,webcam_r,webcam_l,eye93(outer corner),1.598,1.676
train04,S,webcam_r,webcam_l,nose78(base of nose),2.493,3.255
train04,S,webcam_r,webcam_l,nose84(base of nose),3.176,2.791
train04,T,webcam_r,webcam_l,eye35(outer corner),2.669,2.372
train04,T,webcam_r,webcam_l,eye39(inner corner),1.116,1.123
train04,T,webcam_r,webcam_l,eye89(inner corner),3.828,3.764
train04,T,webcam_r,webcam_l,eye93(outer corner),1.514,1.718
train04,T,webcam_r,webcam_l,nose78(base of nose),3.344,3.626
train04,T,webcam_r,webcam_l,nose84(base of nose),3.596,3.455
train09,S,webcam_c,basler,eye35(outer corner),2.429,1.131
train09,S,webcam_c,basler,eye39(inner corner),1.327,0.958
train09,S,webcam_c,basler,eye89(inner corner),2.251,2.251
train09,S,webcam_c,basler,eye93(outer corner),1.253,1.723
train09,S,webcam_c,basler,nose78(base of nose),1.163,1.320
train09,S,webcam_c,basler,nose84(base of nose),1.066,0.568
train09,T,webcam_c,basler,eye35(outer corner),2.617,2.474
train09,T,webcam_c,basler,eye39(inner corner),3.275,3.540
train09,T,webcam_c,basler,eye89(inner corner),1.739,2.068
train09,T,webcam_c,basler,eye93(outer corner),2.176,1.676
train09,T,webcam_c,basler,nose78(base of nose),1.595,1.717
train09,T,webcam_c,basler,nose84(base of nose),2.573,1.170
train09,S,webcam_l,basler,eye35(outer corner),1.201,0.562
train09,S,webcam_l,basler,eye39(inner corner),1.387,0.873
train09,S,webcam_l,basler,eye89(inner corner),2.487,2.091
train09,S,webcam_l,basler,eye93(outer corner),1.158,1.320
train09,S,webcam_l,basler,nose78(base of nose),2.661,2.319
train09,S,webcam_l,basler,nose84(base of nose),1.386,1.324
train09,T,webcam_l,basler,eye35(outer corner),0.639,0.189
train09,T,webcam_l,basler,eye39(inner corner),1.327,1.123
train09,T,webcam_l,basler,eye89(inner corner),3.227,3.285
train09,T,webcam_l,basler,eye93(outer corner),2.241,2.386
train09,T,webcam_l,basler,nose78(base of nose),3.133,2.524
train09,T,webcam_l,basler,nose84(base of nose),1.060,1.429
train09,S,webcam_l,webcam_c,eye35(outer corner),3.606,1.125
train09,S,webcam_l,webcam_c,eye39(inner corner),1.982,1.079
train09,S,webcam_l,webcam_c,eye89(inner corner),3.964,3.799
train09,S,webcam_l,webcam_c,eye93(outer corner),1.406,2.519
train09,S,webcam_l,webcam_c,nose78(base of nose),2.920,1.631
train09,S,webcam_l,webcam_c,nose84(base of nose),0.389,0.923
train09,T,webcam_l,webcam_c,eye35(outer corner),2.002,2.523
train09,T,webcam_l,webcam_c,eye39(inner corner),3.820,3.635
train09,T,webcam_l,webcam_c,eye89(inner corner),2.191,1.905
train09,T,webcam_l,webcam_c,eye93(outer corner),0.981,1.245
train09,T,webcam_l,webcam_c,nose78(base of nose),1.853,2.241
train09,T,webcam_l,webcam_c,nose84(base of nose),3.127,2.418
train09,S,webcam_r,basler,eye35(outer corner),4.297,2.567
train09,S,webcam_r,basler,eye39(inner corner),1.810,2.025
train09,S,webcam_r,basler,eye89(inner corner),2.018,2.111
train09,S,webcam_r,basler,eye93(outer corner),0.984,1.168
train09,S,webcam_r,basler,nose78(base of nose),2.293,3.094
train09,S,webcam_r,basler,nose84(base of nose),2.638,2.571
train09,T,webcam_r,basler,eye35(outer corner),2.350,1.945
train09,T,webcam_r,basler,eye39(inner corner),2.018,1.918
train09,T,webcam_r,basler,eye89(inner corner),2.377,2.238
train09,T,webcam_r,basler,eye93(outer corner),1.203,1.142
train09,T,webcam_r,basler,nose78(base of nose),3.974,3.679
train09,T,webcam_r,basler,nose84(base of nose),2.732,3.354
train09,S,webcam_r,webcam_c,eye35(outer corner),2.191,1.940
train09,S,webcam_r,webcam_c,eye39(inner corner),1.539,1.596
train09,S,webcam_r,webcam_c,eye89(inner corner),1.803,1.835
train09,S,webcam_r,webcam_c,eye93(outer corner),1.513,1.375
train09,S,webcam_r,webcam_c,nose78(base of nose),2.585,2.349
train09,S,webcam_r,webcam_c,nose84(base of nose),1.855,2.228
train09,T,webcam_r,webcam_c,eye35(outer corner),4.595,3.933
train09,T,webcam_r,webcam_c,eye39(inner corner),2.594,3.011
train09,T,webcam_r,webcam_c,eye89(inner corner),3.327,3.548
train09,T,webcam_r,webcam_c,eye93(outer corner),1.639,1.553
train09,T,webcam_r,webcam_c,nose78(base of nose),2.949,3.868
