subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
subject0008,Tk,cam16,30,30,3.868,6.360,90.294
subject0008,S,cam16,60,30,3.162,6.223,90.135
subject0008,GEN,cam16,0,0,nan,26.762,nan
subject0008,T,cam17,60,60,9.288,11.861,90.032
subject0008,Tk,cam17,30,30,7.159,7.750,90.326
subject0008,S,cam17,60,30,3.896,6.576,89.808
subject0008,GEN,cam17,0,0,nan,25.145,nan
subject0008,S240,cam10,109,54,3.638,7.343,88.888
subject0008,F,cam00,480,0,nan,16.121,89.952
subject0008,F,cam01,480,0,nan,21.445,89.952
subject0008,F,cam02,480,0,nan,41.873,89.952
subject0008,F,cam08,480,0,nan,13.802,89.952
subject0008,F,cam09,480,0,nan,14.055,89.952
subject0008,F,cam10,480,0,nan,38.737,89.952
subject0008,F,cam16,480,0,nan,32.583,89.952
subject0008,F,cam17,480,0,nan,17.720,89.952
subject0008,M,cam00,480,240,6.991,8.090,90.314
subject0008,M,cam01,480,240,6.991,9.119,90.314
subject0008,M,cam02,480,240,6.991,24.514,90.314
subject0008,M,cam08,480,240,6.991,11.046,90.314
subject0008,M,cam09,480,240,6.991,11.923,90.314
subject0008,M,cam10,480,240,6.991,31.155,90.314
subject0008,M,cam16,480,240,6.991,26.178,90.314
subject0008,M,cam17,480,240,6.991,17.743,90.314
subject0008,S_cross,cam00,0,0,nan,53.717,nan
subject0008,S_cross,cam01,0,0,nan,42.808,nan
subject0008,S_cross,cam02,0,0,nan,29.987,nan
subject0008,S_cross,cam08,0,0,nan,47.365,nan
subject0008,S_cross,cam09,0,0,nan,34.235,nan
subject0008,S_cross,cam16,0,0,nan,54.259,nan
subject0008,S_cross,cam17,0,0,nan,39.637,nan
subject0006,T,cam00,60,60,3.521,4.223,90.079
subject0006,Tk,cam00,30,30,2.672,4.654,90.020
subject0006,S,cam00,60,30,2.268,4.603,89.949
subject0006,GEN,cam00,0,0,nan,23.144,nan
subject0006,T,cam01,60,60,4.020,5.002,89.944
subject0006,Tk,cam01,30,30,3.215,4.844,89.975
subject0006,S,cam01,60,30,2.840,4.888,89.954
subject0006,GEN,cam01,0,0,nan,24.817,nan
subject0006,T,cam02,60,60,4.237,5.765,88.971
subject0006,Tk,cam02,30,30,3.166,5.733,88.629
subject0006,S,cam02,60,30,2.739,5.739,89.282
subject0006,GEN,cam02,0,0,nan,31.987,nan
subject0006,T,cam03,60,60,3.608,4.847,89.138
subject0006,Tk,cam03,30,30,2.723,4.718,88.960
subject0006,S,cam03,60,30,2.549,4.668,88.145
subject0006,GEN,cam03,0,0,nan,29.852,nan
subject0006,T,cam07,60,60,3.601,4.708,88.571
subject0006,Tk,cam07,30,30,2.634,4.766,87.585
subject0006,S,cam07,60,30,2.321,4.731,88.360
subject0006,GEN,cam07,0,0,nan,25.645,nan
subject0006,T,cam08,60,60,4.421,5.383,89.985
subject0006,Tk,cam08,30,30,3.531,5.212,90.113
subject0006,S,cam08,60,30,2.956,5.306,89.998
subject0006,GEN,cam08,0,0,nan,24.186,nan
subject0006,T,cam09,60,60,4.793,5.688,89.827
subject0006,Tk,cam09,30,30,3.742,5.402,89.905
subject0006,S,cam09,60,30,2.628,5.433,89.953
subject0006,GEN,cam09,0,0,nan,23.001,nan
subject0006,T,cam10,60,60,7.038,8.448,87.502
subject0006,Tk,cam10,30,30,5.867,8.570,88.117
subject0006,S,cam10,60,30,5.005,8.575,88.044
subject0006,GEN,cam10,0,0,nan,38.727,nan
subject0006,T,cam16,60,60,4.804,7.221,89.621
subject0006,Tk,cam16,30,30,4.039,7.053,89.707
subject0006,S,cam16,60,30,3.195,7.242,90.323
subject0006,GEN,cam16,0,0,nan,30.476,nan
subject0006,T,cam17,60,60,3.975,4.854,89.779
subject0006,Tk,cam17,30,30,3.082,4.950,89.833
subject0006,S,cam17,60,30,2.494,4.961,89.633
subject0006,GEN,cam17,0,0,nan,23.955,nan
subject0006,S240,cam09,117,58,3.674,5.779,89.935
subject0006,F,cam00,600,0,nan,16.109,89.875
subject0006,F,cam01,600,0,nan,17.865,89.875
subject0006,F,cam02,600,0,nan,34.050,89.875
subject0006,F,cam03,600,0,nan,37.178,89.875
subject0006,F,cam07,600,0,nan,31.027,89.875
subject0006,F,cam08,600,0,nan,12.279,89.875
subject0006,F,cam09,600,0,nan,16.775,89.875
subject0006,F,cam10,600,0,nan,39.698,89.875
subject0006,F,cam16,600,0,nan,27.327,89.875
subject0006,F,cam17,600,0,nan,18.807,89.875
subject0006,M,cam00,600,300,9.009,9.543,89.786
subject0006,M,cam01,600,300,9.009,10.076,89.786
subject0006,M,cam02,600,300,9.009,13.072,89.786
subject0006,M,cam03,600,300,9.009,15.892,89.786
subject0006,M,cam07,600,300,9.009,19.872,89.786
subject0006,M,cam08,600,300,9.009,10.652,89.786
subject0006,M,cam09,600,300,9.009,16.877,89.786
subject0006,M,cam10,600,300,9.009,26.631,89.786
subject0006,M,cam16,600,300,9.009,17.244,89.786
subject0006,M,cam17,600,300,9.009,22.930,89.786
subject0006,S_cross,cam00,0,0,nan,32.000,nan
subject0006,S_cross,cam01,0,0,nan,32.267,nan
subject0006,S_cross,cam02,0,0,nan,47.028,nan
subject0006,S_cross,cam03,0,0,nan,53.382,nan
subject0006,S_cross,cam07,0,0,nan,45.058,nan
subject0006,S_cross,cam08,0,0,nan,16.488,nan
subject0006,S_cross,cam10,0,0,nan,31.506,nan
subject0006,S_cross,cam16,0,0,nan,32.323,nan
subject0006,S_cross,cam17,0,0,nan,15.375,nan
subject0000,T,cam00,60,60,3.470,4.592,90.342
subject0000,Tk,cam00,30,30,2.786,4.085,90.269
subject0000,S,cam00,60,30,2.140,4.083,90.223
subject0000,GEN,cam00,0,0,nan,26.700,nan
subject0000,T,cam01,60,60,4.725,5.441,90.112
subject0000,Tk,cam01,30,30,3.623,4.527,90.236
subject0000,S,cam01,60,30,2.250,4.556,90.357
subject0000,GEN,cam01,0,0,nan,26.074,nan
subject0000,T,cam02,60,60,4.633,5.713,89.282
subject0000,Tk,cam02,30,30,3.175,5.109,90.047
subject0000,S,cam02,60,30,2.692,5.435,90.002
subject0000,GEN,cam02,0,0,nan,23.364,nan
subject0000,T,cam08,60,60,5.060,6.329,90.517
subject0000,Tk,cam08,30,30,4.196,5.072,90.519
subject0000,S,cam08,60,30,2.953,4.962,90.362
subject0000,GEN,cam08,0,0,nan,26.349,nan
subject0000,T,cam09,60,60,5.508,6.499,90.872
subject0000,Tk,cam09,30,30,4.212,5.317,90.898
subject0000,S,cam09,60,30,2.959,5.267,90.794
