subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
train15,Tk,webcam_c,30,30,0.342,0.534,89.577
train15,S,webcam_c,60,30,0.250,0.533,89.736
train15,T,webcam_r,60,60,0.470,0.602,90.186
train15,Tk,webcam_r,30,30,0.339,0.562,89.716
train15,S,webcam_r,60,30,0.276,0.563,90.123
train15,S240,basler,228,114,0.286,0.479,89.778
train15,F,basler,240,0,nan,2.980,90.071
train15,F,webcam_l,240,0,nan,1.930,90.071
train15,F,webcam_c,240,0,nan,0.984,90.071
train15,F,webcam_r,240,0,nan,2.352,90.071
train15,M,basler,240,120,0.801,2.986,89.922
train15,M,webcam_l,240,120,0.801,1.066,89.922
train15,M,webcam_c,240,120,0.801,0.972,89.922
train15,M,webcam_r,240,120,0.801,1.838,89.922
train15,GEN,basler,0,0,nan,3.313,nan
train15,GEN,webcam_l,0,0,nan,3.626,nan
train15,GEN,webcam_c,0,0,nan,3.805,nan
train15,GEN,webcam_r,0,0,nan,4.439,nan
train15,S_cross,webcam_l,0,0,nan,3.953,nan
train15,S_cross,webcam_c,0,0,nan,2.781,nan
train15,S_cross,webcam_r,0,0,nan,4.549,nan
train17,T,basler,60,60,0.687,0.897,90.452
train17,Tk,basler,30,30,0.585,0.862,90.494
train17,S,basler,60,30,0.513,0.856,90.533
train17,T,webcam_l,60,60,0.674,0.850,90.692
train17,Tk,webcam_l,30,30,0.548,0.862,90.819
train17,S,webcam_l,60,30,0.522,0.867,90.787
train17,T,webcam_c,60,60,0.909,1.023,89.847
train17,Tk,webcam_c,30,30,0.691,0.980,90.220
train17,S,webcam_c,60,30,0.558,0.933,90.139
train17,T,webcam_r,60,60,0.771,0.930,89.895
train17,Tk,webcam_r,30,30,0.611,0.905,89.691
train17,S,webcam_r,60,30,0.485,0.900,89.362
train17,S240,basler,215,107,0.466,0.831,90.584
train17,F,basler,240,0,nan,2.732,90.363
train17,F,webcam_l,240,0,nan,2.252,90.363
train17,F,webcam_c,240,0,nan,1.550,90.363
train17,F,webcam_r,240,0,nan,3.712,90.363
train17,M,basler,240,120,1.419,2.642,90.517
train17,M,webcam_l,240,120,1.419,1.951,90.517
train17,M,webcam_c,240,120,1.419,1.706,90.517
train17,M,webcam_r,240,120,1.419,2.390,90.517
train17,GEN,basler,0,0,nan,2.381,nan
train17,GEN,webcam_l,0,0,nan,3.199,nan
train17,GEN,webcam_c,0,0,nan,3.223,nan
train17,GEN,webcam_r,0,0,nan,5.468,nan
train17,S_cross,webcam_l,0,0,nan,3.882,nan
train17,S_cross,webcam_c,0,0,nan,3.038,nan
train17,S_cross,webcam_r,0,0,nan,5.466,nan
train16,T,basler,60,60,0.514,0.752,89.328
train16,Tk,basler,30,30,0.371,0.772,89.285
train16,S,basler,60,30,0.348,0.700,89.302
train16,T,webcam_l,60,60,0.635,0.843,90.615
train16,Tk,webcam_l,30,30,0.427,0.827,90.562
train16,S,webcam_l,60,30,0.378,0.835,90.674
train16,T,webcam_c,60,60,0.647,0.778,89.938
train16,Tk,webcam_c,30,30,0.490,0.764,90.080
train16,S,webcam_c,60,30,0.375,0.750,90.203
train16,T,webcam_r,60,60,0.537,0.730,89.633
train16,Tk,webcam_r,30,30,0.413,0.728,89.744
