session,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
00773,3,0.39,0.74,1.03,1.4,90.9
00775,2,0.49,0.94,2.11,2.2,89.8
00776,3,0.48,0.78,2.29,2.9,91.1
00777,3,0.41,1.01,1.85,1.8,90.5
00779,1,0.49,1.11,1.46,1.3,89.7
00789,3,0.5,0.78,1.98,2.5,89.2
00790,3,0.67,1.26,1.67,1.3,90.8
00795,1,0.77,1.21,1.81,1.5,90.1
00796,1,0.26,0.45,2.68,5.9,89.6
00802,3,0.53,1.1,2.03,1.8,90.7
00804,1,0.1,0.2,1.78,8.9,89.4
00806,1,0.26,0.64,2.69,4.2,89.6
00808,2,0.35,0.92,1.67,1.8,91.1
00811,3,0.8,1.4,3.36,2.4,90.0
00812,3,0.69,1.38,2.62,1.9,90.6
00814,2,0.89,1.56,1.76,1.1,88.4
00818,2,0.78,1.38,2.85,2.1,90.2
00820,1,0.61,1.4,1.89,1.4,91.6
00821,3,0.79,1.43,1.86,1.3,90.7
00823,2,0.59,1.29,2.44,1.9,90.1
00827,1,0.66,1.31,2.94,2.2,88.8
00831,1,0.58,1.18,2.97,2.5,90.9
00833,1,0.59,1.13,1.93,1.7,89.9
00835,3,0.33,0.61,2.25,3.7,90.3
00837,3,0.63,1.38,1.68,1.2,90.7
00840,2,0.5,0.94,2.04,2.2,90.2
00842,2,0.47,1.07,2.71,2.5,89.6
00850,1,0.45,1.34,2.14,1.6,90.4
00851,2,0.83,1.54,2.81,1.8,89.5
00852,3,0.61,1.28,2.34,1.8,89.7
00853,2,0.55,1.84,2.25,1.2,90.0
00855,2,0.58,1.45,1.6,1.1,91.5
00859,3,0.34,0.71,1.74,2.5,89.7
00861,3,0.51,0.85,2.39,2.8,90.3
00864,3,0.4,0.67,2.17,3.2,89.7
00865,3,0.56,0.97,2.8,2.9,90.5
00868,3,0.79,1.37,1.77,1.3,92.0
00869,3,0.56,1.1,1.43,1.3,90.2
00874,3,0.58,0.97,2.14,2.2,90.3
00875,3,0.56,1.24,2.41,1.9,89.9
00878,3,0.53,1.04,1.32,1.3,90.7
00880,2,0.55,1.39,2.9,2.1,89.7
00881,1,0.5,0.78,1.26,1.6,91.1
00882,3,0.32,0.91,1.39,1.5,90.8
00888,3,0.43,0.83,1.22,1.5,91.0
00890,1,0.37,0.65,1.88,2.9,89.8
00891,1,0.79,1.16,2.27,2.0,90.2
00892,3,0.44,0.78,2.21,2.8,89.6
00896,2,0.5,1.1,2.04,1.8,89.9
00897,3,0.56,0.84,2.55,3.0,89.8
00898,2,0.51,1.17,3.54,3.0,89.7
00899,2,0.63,1.29,1.8,1.4,90.6
00900,3,0.54,1.28,1.94,1.5,91.1
00904,2,0.78,1.3,1.9,1.5,90.4
00905,2,0.7,1.13,1.4,1.2,92.2
00907,2,0.43,1.02,2.47,2.4,89.7
00911,3,0.43,0.77,1.87,2.4,89.9
00912,3,0.59,1.06,1.86,1.8,91.3
00915,3,0.41,0.74,2.09,2.8,90.0
00921,3,0.32,0.74,1.84,2.5,90.8
00924,2,0.35,0.72,3.24,4.5,89.3
00926,3,0.67,1.45,2.07,1.4,89.9
00927,1,0.79,1.53,1.82,1.2,91.8
00931,1,0.73,1.67,2.72,1.6,90.6
00932,4,0.2,0.45,1.27,2.8,90.3
00933,2,0.99,1.65,2.82,1.7,90.0
00934,1,0.47,1.12,1.53,1.4,90.2
00935,2,0.21,0.38,1.87,4.9,89.5
00945,2,0.37,0.97,1.69,1.7,90.5
00947,3,0.29,0.6,1.84,3.1,90.6
00948,1,0.6,1.08,2.07,1.9,90.3
00949,2,0.38,0.57,0.92,1.6,90.4
00953,2,0.48,1.01,2.1,2.1,90.2
00960,4,0.44,1.04,2.0,1.9,91.1
00963,1,0.5,0.89,2.97,3.4,88.7
00969,1,0.58,1.43,1.72,1.2,89.8
00971,3,0.56,1.12,2.22,2.0,89.5
00974,2,0.89,1.77,2.35,1.3,90.8
00976,2,0.33,0.87,2.07,2.4,89.6
00980,4,0.42,0.79,1.9,2.4,90.4
00981,4,0.38,0.88,2.39,2.7,90.1
00983,3,0.29,0.78,1.9,2.5,90.4
00986,1,0.4,1.42,3.44,2.4,89.0
00991,2,0.16,0.33,1.25,3.8,90.0
00992,3,0.57,0.97,1.74,1.8,90.1
00999,3,0.62,1.41,2.42,1.7,90.4
01000,1,0.88,1.86,2.33,1.3,89.7
01001,1,0.81,1.48,1.93,1.3,91.7
01002,2,0.63,1.05,1.72,1.6,90.1
01009,2,0.58,1.46,1.83,1.3,90.2
01010,1,0.81,1.95,2.73,1.4,90.6
01015,3,0.35,0.67,1.56,2.3,90.0
01019,3,0.75,1.69,1.95,1.2,89.8
01020,3,0.78,1.43,2.04,1.4,91.2
01021,3,0.28,0.68,1.35,2.0,90.2
01024,3,0.35,0.82,2.71,3.3,89.6
01025,3,0.4,0.71,2.56,3.6,90.0
01030,1,0.69,1.79,2.7,1.5,90.6
01034,3,0.34,0.73,1.71,2.4,90.4
01035,2,0.66,1.82,3.38,1.9,89.4
01036,3,0.88,1.46,2.02,1.4,89.4
01041,3,0.7,1.33,1.99,1.5,88.6
01042,3,0.53,1.08,2.96,2.7,89.2
01044,2,0.48,0.9,1.12,1.2,91.2
01045,3,0.34,0.65,2.27,3.5,90.3
01046,3,0.43,0.76,2.3,3.0,90.3
01050,3,0.51,0.84,1.24,1.5,90.6
01051,3,0.3,0.64,1.85,2.9,90.6
01052,1,0.73,1.17,1.71,1.5,90.0
01054,3,0.46,0.95,1.72,1.8,90.7
01055,3,0.36,0.62,1.39,2.3,90.1
